,Item_ID,Weight,FatContent,Visibility,Category,Max_Price,Store_ID,Store_Establishment_Year,Store_Size,Store_Location_Type,Store_Type,Predicted_Sales
79,FDA14,16.1,Low_Fat,0.065128984,Dairy,145.17600000000004,OUT013,1987,High,Tier 3,Supermarket Type1,2227.999781982561
80,DRC24,17.85,Low_Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,Tier 2,Supermarket Type1,2472.4502372354063
81,FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,Tier 3,Supermarket Type2,1385.7440100849217
82,NCH29,5.51,Low_Fat,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Small,Tier 1,Supermarket Type1,1628.5104804595921
83,FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,High,Tier 3,Supermarket Type1,3084.7339157986307
85,FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,1891.893057411682
86,FDT59,13.65,Low_Fat,0.015911432,Breads,230.5668,OUT046,1997,Small,Tier 1,Supermarket Type1,3716.766716657421
87,FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062,OUT046,1997,Small,Tier 1,Supermarket Type1,3546.4640396981904
91,FDX02,12.35,Low_Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type3,4949.334548603596
92,FDQ16,12.35,Low_Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3156.6617275952494
93,FDU35,6.44,Low_Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1341.7390530684797
94,NCT29,12.6,Low_Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,1987.3863372147734
95,FDZ27,7.935,Low_Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,717.6548168234103
97,FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,1937.192307845742
99,NCU05,11.8,Low_Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,1333.702417493554
100,FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2230.8957734910164
103,FDG12,6.635,Regular,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,2009.7677517441552
104,DRB01,12.35,Low_Fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,1090.725645827185
105,NCC43,12.35,Low_Fat,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type3,5412.435600534329
106,FDX13,12.35,Low_Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,2107.742250033679
107,FDM22,14.0,Regular,0.042022999000000005,Snack Foods,53.06399999999999,OUT049,1999,Medium,Tier 1,Supermarket Type1,942.9327695913353
108,FDJ03,12.35,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,2139.241665479509
109,FDU14,17.75,Low_Fat,0.0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,3633.371223341308
111,FDP27,8.155,Low_Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,3089.6678340220487
113,FDE28,12.35,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type3,5130.888840534919
114,FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1651.4815842006074
115,DRL23,12.35,Low_Fat,0.015230200000000003,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,3119.7601294751075
116,FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,883.7411247174059
117,FDX24,8.355,Low_Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,1528.7930857964493
118,FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,1602.4017747700318
120,FDS60,12.35,Low_Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,4325.056663190478
122,FDO16,5.48,Low_Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,1486.3439059646662
123,FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1525.2275248828973
124,FDA48,12.1,Low_Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,3228.6611178827006
125,FDZ36,12.35,Regular,0.0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,4466.559677359549
127,FDW23,5.765,Low_Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,355.9722867973487
128,FDM14,13.8,Low_Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1504.7242170981854
129,FDM14,13.8,Low_Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,1770.1798823785266
130,FDW60,5.44,Regular,0.017131453,Baking Goods,177.83700000000005,OUT018,2009,Medium,Tier 3,Supermarket Type2,2630.1460387842844
131,FDE21,12.8,Low_Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,1935.3980886683858
132,NCM42,6.13,Low_Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,1849.3751592992903
134,DRI49,14.15,Low_Fat,0.18379260000000006,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1290.124702528782
135,FDT28,12.35,Low_Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,485.21297126015634
136,FDQ22,16.75,Low_Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,316.1523419101177
137,FDR60,14.3,Low_Fat,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1284.275251310606
138,FDC50,12.35,Low_Fat,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,-433.6523663199132
139,FDV24,5.635,Low_Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,2466.4573719644723
141,FDQ47,7.155,Regular,0.16818637600000005,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,576.0112068018134
142,DRN36,15.2,Low_Fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1594.049180066645
143,NCY06,15.25,Low_Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,2089.984079193586
144,FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,1474.068611503776
146,NCF31,9.13,Low_Fat,0.051837620999999987,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,2518.4275582577957
147,FDJ08,12.35,Low_Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type3,4524.741534791406
149,NCD19,12.35,Low_Fat,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2269.412474605483
150,FDL46,20.35,Low_Fat,0.0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,1976.64802588767
153,DRM11,6.57,Low_Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,4240.740810633825
154,NCH07,13.15,Low_Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2187.560632050623
155,FDS23,4.635,Low_Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,2109.408254104086
156,FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,669.741281016114
157,FDS35,9.3,Low_Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,1152.1570338719885
159,DRI39,13.8,Low_Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,924.5356665427998
161,NCN14,19.1,Low_Fat,0.091900406,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,2913.556526200324
162,FDH08,7.51,Low_Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,3818.6989735502466
163,FDS20,8.85,Low_Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,3006.498978093623
164,FDV40,17.35,Low_Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1271.580435965583
166,FDS24,12.35,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2848.5005163247297
167,FDK44,16.6,Low_Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2902.8683233119154
175,FDH08,7.51,Low_Fat,0.017500078999999998,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,3485.519976600299
176,FDS12,12.35,Low_Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type3,3446.1452071444264
177,FDR39,12.35,Low_Fat,0.08339348099999999,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,4368.82175905449
178,FDP12,12.35,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,2031.7406836353248
179,DRF60,12.35,Low_Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type3,5195.82289454252
180,FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,1790.2956236215741
181,FDF50,4.905,Low_Fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2945.296776221704
182,FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,4023.340627773314
185,NCN18,8.895,Low_Fat,0.0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1875.5219787756323
186,FDF32,16.35,Low_Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,3317.724274097831
187,FDF11,10.195,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,Tier 3,Supermarket Type1,3837.0640013363427
188,DRI59,9.5,Low_Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Medium,Tier 1,Supermarket Type1,3689.352701652274
189,NCG54,12.1,Low_Fat,0.07979117599999999,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,2761.8741352983434
190,FDM44,12.5,Low_Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,1676.6870741077328
191,FDT57,15.2,Low_Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,3500.2978147817375
192,FDV24,5.635,Low_Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,2441.980901384097
193,FDI50,12.35,Regular,0.054001526,Canned,227.8352,OUT019,1985,Small,Tier 1,Grocery Store,1789.8258579870253
194,FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,922.2461924330137
195,NCC31,12.35,Low_Fat,0.019774239,Household,154.5972,OUT027,1985,Medium,Tier 3,Supermarket Type3,3892.5829807022765
196,FDQ07,12.35,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,Tier 1,Grocery Store,1639.9827710506515
198,FDZ56,16.25,Low_Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,Tier 1,Supermarket Type1,2751.097337292331
199,FDZ40,12.35,Low_Fat,0.07035480599999999,Frozen Foods,53.9298,OUT019,1985,Small,Tier 1,Grocery Store,-1068.3446494558666
200,FDS46,12.35,Regular,0.047028483,Snack Foods,118.3782,OUT027,1985,Medium,Tier 3,Supermarket Type3,3346.6378904964386
204,FDA56,9.21,Low_Fat,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Medium,Tier 3,Supermarket Type2,1773.2556113106457
205,FDN27,20.85,Low_Fat,0.039562497,Meat,118.1808,OUT046,1997,Small,Tier 1,Supermarket Type1,1873.7350113314615
206,FDM20,10.0,Low_Fat,0.038745948,Fruits and Vegetables,245.0144,OUT049,1999,Medium,Tier 1,Supermarket Type1,4114.926765187669
208,FDL03,19.25,Regular,0.027075481,Meat,195.611,OUT035,2004,Small,Tier 2,Supermarket Type1,3245.619291714437
209,FDE58,18.5,Low_Fat,0.052068722000000005,Snack Foods,117.0124,OUT046,1997,Small,Tier 1,Supermarket Type1,1826.4300938637543
210,FDI02,12.35,Regular,0.114010306,Canned,112.2202,OUT027,1985,Medium,Tier 3,Supermarket Type3,3248.0360169565665
211,NCC55,12.35,Low_Fat,0.111641021,Household,38.8848,OUT019,1985,Small,Tier 1,Grocery Store,-1354.0290724706247
212,FDR03,15.7,Regular,0.008771522,Meat,205.798,OUT018,2009,Medium,Tier 3,Supermarket Type2,3054.327783058762
214,FDR45,10.8,Low_Fat,0.028919203,Snack Foods,240.9222,OUT013,1987,High,Tier 3,Supermarket Type1,3895.4740583720913
216,FDM51,12.35,Regular,0.045393469000000006,Meat,102.2674,OUT019,1985,Small,Tier 1,Grocery Store,-219.80067284750112
217,FDT52,12.35,Regular,0.047199898,Frozen Foods,244.9144,OUT027,1985,Medium,Tier 3,Supermarket Type3,5370.807543800107
218,FDL26,18.0,Low_Fat,0.07319282,Canned,154.2972,OUT046,1997,Small,Tier 1,Supermarket Type1,2449.0788366740853
219,NCZ42,10.5,Low_Fat,0.011287929,Household,238.9248,OUT046,1997,Small,Tier 1,Supermarket Type1,3814.1645534605686
220,DRI47,12.35,Low_Fat,0.036628533,Hard Drinks,145.6128,OUT019,1985,Small,Tier 1,Grocery Store,387.04865295038144
221,FDW40,14.0,Regular,0.105057952,Frozen Foods,141.1812,OUT013,1987,High,Tier 3,Supermarket Type1,2227.8173382804416
222,FDN34,15.6,Regular,0.0,Snack Foods,169.2132,OUT046,1997,Small,Tier 1,Supermarket Type1,2711.647352092047
223,FDS01,11.6,Low_Fat,0.017741643999999997,Canned,178.3686,OUT035,2004,Small,Tier 2,Supermarket Type1,3001.4055713856087
225,FDC11,20.5,Low_Fat,0.14176602900000002,Starchy Foods,87.4172,OUT035,2004,Small,Tier 2,Supermarket Type1,1357.073582513609
226,FDX35,5.035,Regular,0.08023606400000001,Breads,226.4036,OUT018,2009,Medium,Tier 3,Supermarket Type2,3402.199276269358
227,NCB06,17.6,Low_Fat,0.082332074,Health and Hygiene,160.392,OUT046,1997,Small,Tier 1,Supermarket Type1,2551.369932994223
228,FDR09,12.35,Low_Fat,0.136085739,Snack Foods,259.8962,OUT019,1985,Small,Tier 1,Grocery Store,2242.8281971595497
230,FDY45,17.5,Low_Fat,0.0,Snack Foods,255.2356,OUT013,1987,High,Tier 3,Supermarket Type1,4096.0596001115055
232,FDE02,8.71,Low_Fat,0.121227447,Canned,95.2778,OUT035,2004,Small,Tier 2,Supermarket Type1,1639.5551204877283
234,FDV34,10.695,Regular,0.011425458,Snack Foods,73.6038,OUT046,1997,Small,Tier 1,Supermarket Type1,1196.0338196120983
235,FDS59,14.8,Regular,0.043961689000000005,Breads,109.157,OUT049,1999,Medium,Tier 1,Supermarket Type1,1857.1998801831123
237,NCK54,12.15,Low_Fat,0.029523375,Household,117.215,OUT046,1997,Small,Tier 1,Supermarket Type1,1834.6246558826551
238,FDG17,12.35,Regular,0.062751586,Frozen Foods,244.2486,OUT019,1985,Small,Tier 1,Grocery Store,2008.5931251833272
246,DRE03,19.6,Low_Fat,0.024206741,Dairy,47.0718,OUT013,1987,High,Tier 3,Supermarket Type1,640.5150724759633
247,NCC55,10.695,Low_Fat,0.063862271,Household,38.1848,OUT049,1999,Medium,Tier 1,Supermarket Type1,666.4475516891998
252,FDH40,12.35,Regular,0.138195491,Frozen Foods,83.1276,OUT019,1985,Small,Tier 1,Grocery Store,-618.3120168718851
255,NCR41,17.85,Low_Fat,0.018020588,Health and Hygiene,94.4094,OUT035,2004,Small,Tier 2,Supermarket Type1,1614.1419419457798
256,DRG49,7.81,Low_Fat,0.067442541,Soft Drinks,244.7486,OUT035,2004,Small,Tier 2,Supermarket Type1,4002.0349612670298
257,FDC52,12.35,Regular,0.008239804,Dairy,152.2708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3831.048708275055
258,FDY13,12.1,Low_Fat,0.030127406,Canned,74.567,OUT046,1997,Small,Tier 1,Supermarket Type1,1216.7136482916994
259,FDY35,17.6,Regular,0.016014343,Breads,44.0402,OUT013,1987,High,Tier 3,Supermarket Type1,705.3250718918644
261,NCU18,15.1,Low_Fat,0.055926872,Household,141.4496,OUT049,1999,Medium,Tier 1,Supermarket Type1,2307.2241555411983
262,FDY33,14.5,Regular,0.097597084,Snack Foods,158.5262,OUT018,2009,Medium,Tier 3,Supermarket Type2,2227.0734852256883
263,FDC15,12.35,Low_Fat,0.177107232,Dairy,157.5288,OUT027,1985,Medium,Tier 3,Supermarket Type3,3844.932591696217
264,FDU01,20.25,Regular,0.0,Canned,186.4924,OUT049,1999,Medium,Tier 1,Supermarket Type1,3098.4296785915885
265,NCU42,9.0,Low_Fat,0.019506654,Household,169.5474,OUT046,1997,Small,Tier 1,Supermarket Type1,2701.695055472601
266,NCV29,11.8,Low_Fat,0.022936556,Health and Hygiene,177.6686,OUT018,2009,Medium,Tier 3,Supermarket Type2,2607.426243902227
268,FDQ46,7.51,Low_Fat,0.103974431,Snack Foods,112.1544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1906.1973313803564
269,FDG58,12.35,Regular,0.086360962,Snack Foods,153.7972,OUT027,1985,Medium,Tier 3,Supermarket Type3,3902.4670649710242
272,NCX29,12.35,Low_Fat,0.088720803,Health and Hygiene,144.4102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3776.3675465094393
273,NCT42,5.88,Low_Fat,0.024866609,Household,148.3392,OUT013,1987,High,Tier 3,Supermarket Type1,2391.724572451605
274,DRN59,15.0,Low_Fat,0.064129493,Hard Drinks,45.90600000000001,OUT035,2004,Small,Tier 2,Supermarket Type1,748.4859726056884
275,FDI44,16.1,Low_Fat,0.100213917,Fruits and Vegetables,79.0328,OUT035,2004,Small,Tier 2,Supermarket Type1,1370.331253604536
276,FDA45,21.25,Low_Fat,0.155621254,Snack Foods,178.237,OUT049,1999,Medium,Tier 1,Supermarket Type1,2866.7879011751966
278,FDY01,11.8,Regular,0.17028349199999998,Canned,115.1834,OUT046,1997,Small,Tier 1,Supermarket Type1,1824.712220727717
279,FDT09,15.15,Regular,0.012313256000000002,Snack Foods,132.8284,OUT018,2009,Medium,Tier 3,Supermarket Type2,1841.7452257778205
280,DRH03,12.35,Low_Fat,0.0,Dairy,94.812,OUT027,1985,Medium,Tier 3,Supermarket Type3,2902.3066803303927
281,FDA36,5.985,Low_Fat,0.005689466,Baking Goods,186.6924,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.4427811604473
283,FDG14,9.0,Regular,0.050579228,Canned,151.3024,OUT049,1999,Medium,Tier 1,Supermarket Type1,2580.973536117961
284,FDG28,12.35,Regular,0.04904165,Frozen Foods,245.5144,OUT027,1985,Medium,Tier 3,Supermarket Type3,5379.76842821884
285,FDU14,17.75,Low_Fat,0.034806679,Dairy,250.175,OUT049,1999,Medium,Tier 1,Supermarket Type1,4017.952444181633
286,FDY47,12.35,Regular,0.095395258,Breads,131.131,OUT019,1985,Small,Tier 1,Grocery Store,203.65472027895885
287,FDI56,7.325,Low_Fat,0.093530571,Fruits and Vegetables,90.4146,OUT049,1999,Medium,Tier 1,Supermarket Type1,1617.6760391370426
